,accuracy,formatted_address,google_place_id,input_string,lat,lng,number_of_results,postcode,status,type
0,ROOFTOP,"6333 N Scottsdale Rd, Scottsdale, AZ 85250, USA",ChIJJS1YcBQLK4cROm0PbkS3R9M,"Hilton Scottsdale Resort, pool deck",33.530694,-111.9242098,2,85250,OK,"establishment,health,lodging,point_of_interest,spa"
1,ROOFTOP,"114 E 11th St, Michigan City, IN 46360, USA",ChIJmRTqgXkIEYgRScf8vzJWR2s,City Train Line,41.7117637,-86.8976995,1,46360,OK,"establishment,point_of_interest"
2,APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,NYC,40.7127753,-74.0059728,1,,OK,"locality,political"
3,APPROXIMATE,"Treforest, Pontypridd CF37 1SH, UK",ChIJSyfT3m4XbkgRoBma3yr8oVY,"Treforest, Wales, UK",51.59431,-3.3268985,1,CF37 1SH,OK,"political,sublocality,sublocality_level_1"
4,APPROXIMATE,"San Pedro, Los Angeles, CA, USA",ChIJpYrtFq413YARX4eG8Fd9FAQ,"San Pedro, CA",33.7360619,-118.2922461,1,,OK,"neighborhood,political"
5,APPROXIMATE,"New Orleans, LA, USA",ChIJZYIRslSkIIYRtNMiXuhbBts,New Orleans,29.9510658,-90.0715323,1,,OK,"locality,political"
6,APPROXIMATE,"Metro Manila, Philippines",ChIJbTgmYNLIlzMR0HiSrNoj7V8,"Metro Manila, Philippines",14.6090537,121.0222565,1,,OK,"administrative_area_level_1,political"
7,APPROXIMATE,"Oakland, CA, USA",ChIJA-2qKIt9hYARZ5N1NdUVtHE,"Oakland, CA",37.8043637,-122.2711137,1,,OK,"locality,political"
8,APPROXIMATE,"Nabeul‎, Tunisia",ChIJ09O975WYAhMR_uScVtFgXS4,nabel/tunisia,36.4512893,10.7356634,1,,OK,"locality,political"
9,APPROXIMATE,"Seattle, WA, USA",ChIJVTPokywQkFQRmtVEaUZlJRA,"Seattle, WA",47.6062095,-122.3320708,1,,OK,"locality,political"
10,APPROXIMATE,"Nan, Thailand",ChIJu20dDgmOJzERwJWGOLGCgAs,,18.7756318,100.7730417,1,,OK,"administrative_area_level_1,political"
11,APPROXIMATE,"Minneapolis, MN, USA",ChIJvbt3k5Azs1IRB-56L4TJn5M,"Minneapolis, MN",44.977753,-93.2650108,1,,OK,"locality,political"
12,,,,"My home, my place of refuge, my space for learning",,,0,,ZERO_RESULTS,
